Corre;Plan_med
Altavista ;66
Altavista ;30
Altavista ;45
Altavista ;21
Altavista ;16
Altavista ;14
Altavista ;6
Altavista ;22
Palmitas;40
Palmitas;50
Palmitas;32
Palmitas;58
Palmitas;46
Palmitas;36
Palmitas;41
San Antonio de Prado;17
San Antonio de Prado;27
San Antonio de Prado;3
San Antonio de Prado;30
San Antonio de Prado;31
San Antonio de Prado;31
San Antonio de Prado;28
San Antonio de Prado;55
San Antonio de Prado;33
San Antonio de Prado;38
San Antonio de Prado;47
San Cristobal;6
San Cristobal;53
San Cristobal;73
San Cristobal;28
San Cristobal;14
San Cristobal;61
San Cristobal;51
San Cristobal;26
San Cristobal;85
San Cristobal;51
San Cristobal;54
San Cristobal;20
San Cristobal;17
San Cristobal;59
San Cristobal;84
San Cristobal;112
San Cristobal;46
San Cristobal;45
San Cristobal;63
San Cristobal;16
Santa Elena;10
Santa Elena;4
Santa Elena;16
Santa Elena;30
Santa Elena;40
Santa Elena;60